restaurant_id,restaurant_name,cuisine_type,restaurant_address,latitude,longitude,manhattan_region,restaurant_rating,review_count,price
scjoZtbTQHi35xhAlUm2iQ,L'ADRESSE,American,"'1065 Ave Of The Americas, New York, NY 10018'",40.75403,-73.98539,Midtown,4.0,629,$$
fEig4z0y_qCMRLvW7HRuqA,Harding's,American,"'32 E 21st St, New York, NY 10010'",40.7393229,-73.9887163,Midtown,4.0,358,$$
EExssFJhwDf11NDAfpdXPQ,Casa Nomad,American,"'1204 Broadway, New York, NY 10001'",40.746293,-73.98825,Midtown,4.5,66,$$
IBgjj5VBu5JJvKgo9EzKrg,The Three Monkeys,American,"'236 W 54th St, New York, NY 10019'",40.764164,-73.98306,Midtown,4.0,1161,$$
tnxb_qM5e7J5wIfYwJB3Ig,The Elgin,American,"'64 West 48th St, New York, NY 10036'",40.758194,-73.980905,Midtown,4.5,114,
1iy3W3yX6BGYF2387OPXQg,Ivy Lane,American,"'116 E 60th St, New York, NY 10022'",40.763027,-73.968715,Midtown,4.5,58,
3axYlGbF2M-rHjz0uhKFcg,Whitmans Hudson Yards,American,"'331 10th Ave, New York, NY 10001'",40.751716,-74.001579,Midtown,4.0,203,$$
6hKJePanmG9AxK4dfwgyyg,The Horny Ram,American,"'951 2nd Ave, New York, NY 10022'",40.75528,-73.96857,Midtown,4.0,483,$$
xtfKAP7X36CCZrJm_Ta6Cg,The Consulate,American,"'519 Columbus Ave, New York, NY 10024'",40.78586,-73.97242,Uptown,4.0,90,$$$
n-JSnKZcF1Bs-RPcIlb0qw,Elephant & Castle,American,"'68 Greenwich Ave, New York, NY 10011'",40.736214,-74.000729,Midtown,4.0,534,$$
cSRzfprFfAnT1nAcQMgrDA,Fred's Restaurant,American,"'476 Amsterdam Ave, New York, NY 10024'",40.7856233,-73.9767067,Uptown,4.0,771,$$
fgtw4swOHXEFwZpBCG05rQ,Black Iron Burger,American,"'245 W 38th St, New York, NY 10018'",40.75427,-73.99031,Midtown,4.0,956,$$
CEOm_NF7EeDZR4ozRZvCSg,Bedford Falls,American,"'206 E 67th St, New York, NY 10065'",40.7661503,-73.9625243,Uptown,4.0,94,$$
4LoroCI3VtQ17dyQa75-Rg,The Warren,American,"'131 Christopher St, New York, NY 10014'",40.7331,-74.0067,Downtown,4.0,225,$$
PnGSE8JGbMZKtdHi9go7Kg,The Milling Room,American,"'446 Columbus Ave, New York, NY 10024'",40.7835485472543,-73.9744088718635,Uptown,4.0,472,$$$
J3NT61-AH5d5Gu5tFJhYSw,The Cabin NYC,American,"'205 E 4th St, New York, NY 10009'",40.72393,-73.98383,Downtown,4.0,227,$$
IiIzeFqe4tJiHaAWyw7ddg,West End Bar & Grill,American,"'813 8th Ave, New York, NY 10019'",40.7615693,-73.9867747,Midtown,4.0,392,$$
dMhRafXdr765DHe0k-QfaQ,ABC Kitchen,American,"'35 E 18th St, New York, NY 10003'",40.738085,-73.989472,Midtown,4.0,2972,$$$
Lw044EfH1h3XhUhri3ExfA,BLACKBARN,American,"'19 E 26th St, New York, NY 10010'",40.7431036278527,-73.9870538457459,Midtown,4.0,604,$$$
38YuedP0ItlKbC-ncJ1XCQ,Tavern on Jane,American,"'31 8th Ave, New York, NY 10014'",40.73822,-74.00426,Midtown,4.0,406,$$
f4QBa0khsF9Ut99Tc9IMIA,Haswell Green's,American,"'240 W 52nd St, New York, NY 10019'",40.76301,-73.98416,Midtown,4.5,312,$$
MfbVI5reXLIIs8Cc2HwgQw,Breakroom,American,"'83 Baxter St, New York, NY 10013'",40.7166907225542,-73.9999440120647,Downtown,4.5,1602,$$
WKDdD8Z17-P1XhkyJtDEFA,Johny's Luncheonette,American,"'124 W 25th St, New York, NY 10001'",40.7444458007812,-73.9930725097656,Midtown,4.5,969,$
3idAtiEXe_XfTcPoZC_DcQ,Westville East,American,"'173 Ave A, New York, NY 10009'",40.72847,-73.98213,Downtown,4.0,1048,$$
h5WkewI6U7NjLB_n6WgdvQ,HandCraft Kitchen & Cocktails,American,"'367 3rd Ave, New York, NY 10016'",40.740967,-73.981292,Midtown,4.0,391,$$
oqeeOpA2S6U02nUGa8Ot7g,Alison,American,"'1651 Lexington Ave, New York, NY 10029'",40.7909561630924,-73.9469904452562,Uptown,4.0,55,$$
nm5rcWNmfevNXLNQAITi5w,Clinton Hall,American,"'90 Washington St, New York, NY 10006'",40.70803,-74.014869,Downtown,3.5,658,$$
zooS5ms4-vz3evQ3Cn6tmA,Mulberry & Vine,American,"'155 E 44th St, New York, NY 10017'",40.75233,-73.97386,Midtown,4.0,84,$$
